# ----------------------------------------,,
# highcharts.com,,
# Audience Overview,,
# 20171217-20180117,,
# ----------------------------------------,,
,,
Day Index,????,????
12/18/2017,"40,585","48,351"
12/19/2017,"43,039","51,499"
12/20/2017,"44,926","53,359"
12/21/2017,"41,256","49,018"
12/22/2017,"36,844","43,332"
12/23/2017,"28,955","33,419"
12/24/2017,"26,113","30,020"
12/25/2017,"28,433","33,183"
12/26/2017,"32,687","38,782"
12/27/2017,"35,689","42,566"
12/28/2017,"33,656","39,972"
12/29/2017,"34,559","40,414"
12/30/2017,"29,197","33,565"
12/31/2017,"26,495","30,738"
1/1/2018,"28,291","32,822"
1/2/2018,"35,472","42,081"
1/3/2018,"38,363","45,652"
1/4/2018,"41,645","49,572"
1/5/2018,"40,268","47,936"
1/6/2018,"32,846","37,539"
1/7/2018,"33,560","38,527"
1/8/2018,"39,327","46,847"
1/9/2018,"42,947","51,286"
1/10/2018,"44,179","53,245"
1/11/2018,"41,938","50,733"
1/12/2018,"40,964","49,046"
1/13/2018,"32,176","37,106"
1/14/2018,"28,915","33,218"
1/15/2018,"37,077","44,192"
1/16/2018,"41,477","49,612"
1/17/2018,"41,840","50,285"
